job_id,title,category,company,location,seniority,salary_range,employment_type,job_summary,main_responsibilities,required_skills,preferred_skills
JP101,Senior Python Developer,IT,FinCloud Sp. z o.o.,"Warszawa, Polska (hybrydowo)",Senior,22 000-28 000 PLN brutto,Umowa o pracę / B2B,Prowadzenie zespołu backend i rozwój mikro-serwisów w ekosystemie płatności o wysokiej dostępności (100k transakcji/min).,"Projektowanie architektury usług, optymalizacja wydajności API, integracja z AWS, mentoring 4-os. zespołu, code review.","Python, Django/FastAPI, PostgreSQL, Docker, Kubernetes, AWS, Git, CI/CD","Doświadczenie FinTech, certyfikaty AWS SAA/SAP, Domain-Driven Design"
JP102,Cloud DevOps Engineer (AWS),IT,SkyOps,100% zdalnie (Polska),Senior,20 000-26 000 PLN B2B,Kontrakt B2B,Projektowanie i utrzymanie infrastruktury chmurowej klasy enterprise dla klientów e-commerce na AWS.,"IaC w Terraform, automatyzacja pipeline’ów GitHub Actions, zarządzanie klastrami EKS, monitoring Prometheus/Grafana, optymalizacja kosztów.","AWS (EKS, Lambda, RDS), Terraform, Kubernetes, Linux, Bash/Python, CI/CD","Certyfikat AWS DevOps Pro, doświadczenie w FinOps"
JP103,Business Analyst (FinTech),IT / Biznes,PayLine,"Kraków, Polska (hybrydowo)",Mid,11 000-15 000 PLN brutto,Umowa o pracę,Analiza procesów rozliczeniowych kart bankowych i przekładanie wymagań biznesowych na backlog Scrum.,"Warsztaty z klientem, modelowanie BPMN 2.0, user stories, SQL i raporty Power BI, koordynacja UAT.","BPMN, JIRA, Confluence, SQL, Power BI, Agile/Scrum, English C1","Certyfikat CBAP, podstawy Python/Pandas"
JP104,Cybersecurity Specialist (SOC L2),IT / Security,SecureBank,"Warszawa, Polska (on-site)",Mid,14 000-19 000 PLN brutto,Umowa o pracę (system zmianowy),Monitoring bezpieczeństwa 24/7 i testy penetracyjne aplikacji bankowych.,"Analiza alertów Splunk, prowadzenie pentestów OWASP, automatyzacja playbooków Python, współpraca z zespołem Threat Intel.","SIEM (Splunk/Elastic), OWASP Top10, Python/Bash, MITRE ATT&CK, angielski B2","Certyfikaty CEH/OSCP, doświadczenie w sektorze finansowym"
JP105,Junior Mobile Developer (React Native),IT,AppStage,"Poznań, Polska (hybrydowo)",Junior,9 000-12 000 PLN brutto,Umowa o pracę,Rozwój aplikacji cross-platformowych React Native dla klientów B2B.,"Implementacja UI w TypeScript, testy w Jest, integracje REST/GraphQL, publikacje OTA (Expo).","React Native, TypeScript, Git, angielski B1","CI/CD Bitrise, Firebase, UX basics"
JP106,Data Engineer (GCP),IT / Data,InsightAnalytics,"Wrocław, Polska (hybrydowo)",Mid,15 000-20 000 PLN brutto,Umowa o pracę,Budowa skalowalnych pipeline’ów ETL w PySpark i BigQuery dla kampanii marketingowych.,"Projektowanie procesów Dataproc, orkiestracja Airflow, modelowanie hurtowni w dbt, data quality, deploy w GCP.","Python, SQL, Spark, Airflow, BigQuery, Kafka, angielski B2","Certyfikat GCP PDE, Docker/Kubernetes"
JP107,Frontend Developer (Vue.js),IT,ShopWave,"Łódź, Polska (100% remote)",Mid,13 000-17 000 PLN brutto,Umowa o pracę / B2B,Rozwój dashboardu administracyjnego platformy e-commerce w Vue 3.,"Implementacja komponentów, integracje GraphQL, optymalizacja Web Vitals, Storybook design-system.","Vue 3, TypeScript, GraphQL, Git, REST, English B2","Nuxt 3, Cypress, Docker"
JP108,Product Owner (eCommerce),Management / IT,eMarket,"Warszawa, Polska (hybrydowo)",Senior,18 000-24 000 PLN brutto,Umowa o pracę,Zarządzanie roadmapą marketplace’u i maksymalizacja GMV poprzez iteracyjne wdrożenia funkcji.,"Definicja backlogu, priorytetyzacja wg ROI, analiza KPI, współpraca z UX i dev, A/B testy.","Product management, Agile/Scrum, analityka danych, angielski C1","Certyfikat PSPO II, doświadczenie retail"
JP109,QA Automation Engineer,IT / Testing,QualityHub,"Katowice, Polska (hybrydowo)",Mid,12 000-16 000 PLN brutto,Umowa o pracę,Budowa frameworku testów automatycznych dla aplikacji webowych klientów z USA.,"Selenium/Java, testy API Rest-Assured, pipeline Jenkins, raporty w JIRA, BDD/Cucumber.","Java, Selenium, API testing, CI/CD, angielski B2","Appium mobile, ISTQB TAE"
JP110,Machine Learning Engineer (NLP),IT / AI,LinguaAI,"Kraków, Polska (hybrydowo)",Senior,22 000-30 000 PLN B2B,Kontrakt B2B,Fine-tuning modeli LLM do tłumaczeń specjalistycznych i wdrożenia na Kubernetes.,"Trenowanie modeli Transformer HF, pipeline MLFlow, optymalizacja inferencji ONNX/TensorRT, KServe.
","PyTorch, Transformers, Docker, Kubernetes, MLFlow, angielski C1","Publikacje ACL/EMNLP, LoRA, RAG"
